District name,Primary role,Name,First name,Last name,Address,,formatted_address,,latitude,longitude,coordinates,,accuracy,google_place_id,,type,postcode,input_string,number_of_results,status,distance to NB Parli.
Albert,MLA,Mike Holland,Mike,Holland,"Albert 1037 Route 114 Lower Coverdale, New Brunswick E1J 1A1",0,"1037 NB-114, Riverview, NB E1B 3W6, Canada",,46.0603269,-64.7365035,"46.0603269,-64.7365035",,ROOFTOP,ChIJJbwHSci7oEwR3g3ARwjgSos,,street_address,E1B 3W6,"Albert 1037 Route 114 Lower Coverdale, New Brunswick E1J 1A1",1,OK,2141.738
Bathurst East-Nepisiguit-Saint-Isidore,MLA,Denis Landry,Denis,Landry,"Bathurst East-Nepisiguit-Saint-Isidore 4024, Boulevard des Fondateurs Saint-Isidore, New Brunswick E8M 1G2 Canada",1,"4024 Boulevard des Fondateurs, Saint-Isidore, NB E8M 1G2, Canada",,47.5561989,-65.0410314,"47.5561989,-65.0410314",,ROOFTOP,ChIJL5tLxLFKn0wRph0VGsRJ1OQ,,street_address,E8M 1G2,"Bathurst East-Nepisiguit-Saint-Isidore 4024, Boulevard des Fondateurs Saint-Isidore, New Brunswick E8M 1G2 Canada",1,OK,2295.237
Bathurst West-Beresford,MLA,Brian Kenny,Brian,Kenny,"Bathurst West-Beresford 103A-1935 St Peter Avenue Bathurst, New Brunswick E2A 7J5 Canada",2,"103A-1935 St Peter Ave, Bathurst, NB E2A 7J5, Canada",,47.6506611,-65.6793028,"47.6506611,-65.6793028",,ROOFTOP,EjQxMDNBLTE5MzUgU3QgUGV0ZXIgQXZlLCBCYXRodXJzdCwgTkIgRTJBIDdKNSwgQ2FuYWRhIiAaHgoWChQKEgnLmcsctpOYTBE8kK_fWE4FFBIEMTAzQQ,,subpremise,E2A 7J5,"Bathurst West-Beresford 103A-1935 St Peter Avenue Bathurst, New Brunswick E2A 7J5 Canada",1,OK,2254.612
Campbellton-Dalhousie,MLA,Guy Arseneault,Guy,Arseneault,"Campbellton-Dalhousie 110-113 Roseberry Street Campbellton, New Brunswick E3N 2G6 Canada",3,"110 Roseberry St, Campbellton, NB E3N 2G8, Canada",,48.0038915,-66.6798965,"48.00389149999999,-66.6798965",,ROOFTOP,ChIJH8Zpe9ggmEwRPEGXMOyymgA,,street_address,E3N 2G8,"Campbellton-Dalhousie 110-113 Roseberry Street Campbellton, New Brunswick E3N 2G6 Canada",1,OK,2207.836
Caraquet,MLA,Isabelle Thériault,Isabelle,Thériault,"Caraquet 253 Boulevard St.-Pierre Ouest Caraquet, New Brunswick E1W 1A4 Canada",4,"253 W St Peter Boulevard., Caraquet, NB E1W 1A4, Canada",,47.7878265,-64.9701435,"47.7878265,-64.9701435",,ROOFTOP,ChIJfbg7uVjRmEwR7QVBKUg3A1g,,premise,E1W 1A4,"Caraquet 253 Boulevard St.-Pierre Ouest Caraquet, New Brunswick E1W 1A4 Canada",1,OK,2327.989
Carleton,MLA,Stewart Fairgrieve,Stewart,Fairgrieve,"Carleton 639 Main Street Woodstock, New Brunswick E7M 2C7 Canada",5,"639 Main St, Woodstock, NB E7M 2C7, Canada",,46.1502379,-67.5735398,"46.1502379,-67.57353979999999",,ROOFTOP,ChIJsVaHvU3tpEwRbd6E9VzHd9U,,street_address,E7M 2C7,"Carleton 639 Main Street Woodstock, New Brunswick E7M 2C7 Canada",1,OK,1926.323
Carleton-Victoria,MLA,Andrew Harvey,Andrew,Harvey,"Carleton-Victoria 836 Central Street Centreville, New Brunswick E7K 2E7 Canada",6,"836 Central St, Centreville, NB E7K 2E7, Canada",,46.4305929,-67.7186564,"46.4305929,-67.7186564",,ROOFTOP,ChIJxVzBLaKmpEwRD7g9k2ZR0wA,,street_address,E7K 2E7,"Carleton-Victoria 836 Central Street Centreville, New Brunswick E7K 2E7 Canada",1,OK,1946.624
Carleton-York,MLA,Carl Urquhart,Carl,Urquhart,"Carleton-York 157 Otis Drive, Suite 110 Nackawic, New Brunswick E6G 1G9 Canada",7,"110-157 Otis Dr, Nackawic, NB E6G 1H3, Canada",,45.9944344,-67.2354094,"45.9944344,-67.2354094",,ROOFTOP,Ei0xMTAtMTU3IE90aXMgRHIsIE5hY2thd2ljLCBOQiBFNkcgMUgzLCBDYW5hZGEiHxodChYKFAoSCU90om5mW6RMEQtHUvkMgliREgMxMTA,,subpremise,E6G 1H3,"Carleton-York 157 Otis Drive, Suite 110 Nackawic, New Brunswick E6G 1G9 Canada",1,OK,1971.196
Dieppe,MLA,Roger Melanson,Roger,Melanson,"Dieppe 650 Champlain Street, Suite 203 Dieppe, New Brunswick E1A 1P5 Canada",8,"203-650 Champlain St, Dieppe, NB E1A 2B7, Canada",,46.0995356,-64.7272706,"46.0995356,-64.7272706",,ROOFTOP,EigyMDMtNjUwIENoYW1wbGFpbiBTdCwgRGllcHBlLCBOQiwgQ2FuYWRhIh8aHQoWChQKEglrhjOVArygTBGxikW7qScO0BIDMjAz,,subpremise,E1A 2B7,"Dieppe 650 Champlain Street, Suite 203 Dieppe, New Brunswick E1A 1P5 Canada",1,OK,2144.408
Edmundston-Madawaska Centre,MLA,Jean-Claude (JC) D'Amours,Jean-Claude (JC),D'Amours,"Edmundston-Madawaska Centre 180 Hébert Boulevard Edmundston, New Brunswick E3V 2S7 Canada",9,"180 Boulevard Hébert, Edmundston, NB E3V 2S7, Canada",,47.3733359,-68.3170489,"47.3733359,-68.3170489",,GEOMETRIC_CENTER,ChIJuTbUC5OpvUwRtjt1nuTSXRg,,premise,E3V 2S7,"Edmundston-Madawaska Centre 180 Hébert Boulevard Edmundston, New Brunswick E3V 2S7 Canada",1,OK,2011.07
Fredericton North,MLA,Stephen Horsman,Stephen,Horsman,"Departmental Building, West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",10,"96 St John St, Fredericton, NB E3B 1C5, Canada",,45.9594525,-66.6368514,"45.9594525,-66.6368514",,ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,,street_address,E3B 1C5,"Departmental Building, West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.423
Fredericton South,MLA,David Coon,David,Coon,"Fredericton South 346 Queen Street Fredericton, New Brunswick E3B 1B2 Canada",11,"346 Queen St, Fredericton, NB E3B 1B2, Canada",,45.9633044,-66.6446197,"45.9633044,-66.64461969999999",,ROOFTOP,ChIJicx4uJgYpEwRDrRVfPU2LdQ,,premise,E3B 1B2,"Fredericton South 346 Queen Street Fredericton, New Brunswick E3B 1B2 Canada",1,OK,2024.124
Fredericton West-Hanwell,MLA,Dominic Cardy,Dominic,Cardy,"Fredericton West-Hanwell 1757 Hanwell Road Hanwell, New Brunswick E3C 2B9 Canada",12,"1225 Hanwell Rd, Fredericton, NB E3C 1A6, Canada",,45.9465502,-66.6952344,"45.9465502,-66.6952344",,ROOFTOP,ChIJ8ToGh_QipEwRyfNrwpGjY78,,"car_dealer,establishment,point_of_interest,store",E3C 1A6,"Fredericton West-Hanwell 1757 Hanwell Road Hanwell, New Brunswick E3C 2B9 Canada",3,OK,2019.389
Fredericton-Grand Lake,MLA,Kris Austin,Kris,Austin,"Fredericton-Grand Lake 112 Main Street Minto, New Brunswick E4B 3M2 Canada",13,"Fredericton, NB, Canada",,45.9635895,-66.6431151,"45.9635895,-66.6431151",,APPROXIMATE,ChIJK_uYpAsipEwRtF1Beikv3uc,,"locality,political",,"Fredericton-Grand Lake 112 Main Street Minto, New Brunswick E4B 3M2 Canada",2,OK,2024.065
Fredericton-York,MLA,Rick DeSaulniers,Rick,DeSaulniers,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",14,"96 St John St, Fredericton, NB E3B 1C5, Canada",,45.9594525,-66.6368514,"45.9594525,-66.6368514",,ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,,street_address,E3B 1C5,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.423
Fundy-The Isles-Saint John West,MLA,Andrea Anderson-Mason,Andrea,Anderson-Mason,"Fundy-The Isles-Saint John West 250 Main Street Upper Letang, New Brunswick E5C 3V1 Canada",15,"250 Main St, Upper Letang, NB E5C 3V1, Canada",,45.1328206,-66.7925537,"45.1328206,-66.7925537",,ROOFTOP,ChIJYx7xoiIZpkwRnHncoDwmvR0,,street_address,E5C 3V1,"Fundy-The Isles-Saint John West 250 Main Street Upper Letang, New Brunswick E5C 3V1 Canada",1,OK,1920.529
Gagetown-Petitcodiac,MLA,Ross Wetmore,Ross,Wetmore,"Gagetown-Petitcodiac 52-B Babbit Street Gagetown, New Brunswick E5M 1C7 Canada",16,"52 Babbit St, Gagetown, NB E5M, Canada",,45.7825149,-66.1480047,"45.7825149,-66.1480047",,RANGE_INTERPOLATED,EiI1MiBCYWJiaXQgU3QsIEdhZ2V0b3duLCBOQiwgQ2FuYWRhIhoSGAoUChIJn95oX0zrpkwRgBQ3ZYuw1TQQNA,,street_address,E5M,"Gagetown-Petitcodiac 52-B Babbit Street Gagetown, New Brunswick E5M 1C7 Canada",1,OK,2073.857
Hampton,MLA,Gary Crossman,Gary,Crossman,"39 Railway Crescent Hampton, New Brunswick E5N 5L2 Canada",17,"39 Railway Crescent, Hampton, NB E5N 5L2, Canada",,45.5261161,-65.8288695,"45.5261161,-65.8288695",,ROOFTOP,ChIJbcjz6JwBp0wROxQWU0ixb00,,premise,E5N 5L2,"39 Railway Crescent Hampton, New Brunswick E5N 5L2 Canada",1,OK,2022.939
Kent North,MLA,Kevin Arseneau,Kevin,Arseneau,"Kent North 11117 Main Street Rogersville, New Brunswick E4Y 2N3 Canada",18,"Rogersville, NB E4Y 2N3, Canada",,46.7323231,-65.4266306,"46.7323231,-65.4266306",,APPROXIMATE,ChIJf-O-Fx2coUwRe9nBOaswLAA,,postal_code,E4Y 2N3,"Kent North 11117 Main Street Rogersville, New Brunswick E4Y 2N3 Canada",1,OK,2185.897
Kent South,MLA,Benoît Bourque,Benoît,Bourque,"Kent South 30 Évangéline Street Bouctouche, New Brunswick E4S 3E4 Canada",19,"30 Rue Évangéline, Bouctouche, NB E4S 3E4, Canada",,46.4751299,-64.7203195,"46.4751299,-64.7203195",,ROOFTOP,ChIJ1RBqMr_3oEwRm_Bn9SFOyWI,,premise,E4S 3E4,"Kent South 30 Évangéline Street Bouctouche, New Brunswick E4S 3E4 Canada",1,OK,2192.755
Kings Centre,MLA,Bill Oliver,Bill,Oliver,"241 River Valley Drive Grand Bay-Westfield, New Brunswick E5K 1A7 Canada",20,"241 River Valley Dr, Grand Bay-Westfield, NB E5K 1A7, Canada",,45.3041553,-66.1957824,"45.3041553,-66.1957824",,ROOFTOP,ChIJWbyalAZMpkwRD5bA3nDGg0I,,street_address,E5K 1A7,"241 River Valley Drive Grand Bay-Westfield, New Brunswick E5K 1A7 Canada",1,OK,1988.32
Madawaska Les Lacs-Edmundston,MLA,Francine Landry,Francine,Landry,"Madawaska Les Lacs-Edmundston 174 rue de L'Église Edmundston, New Brunswick E3V 1K2 Canada",21,"174 Rue de l'Église, Edmundston, NB E3V 1K2, Canada",,47.3622803,-68.3320403,"47.36228029999999,-68.3320403",,ROOFTOP,ChIJm_oIXieqvUwR_ycLCfQ9-K8,,premise,E3V 1K2,"Madawaska Les Lacs-Edmundston 174 rue de L'Église Edmundston, New Brunswick E3V 1K2 Canada",1,OK,2011.68
Memramcook-Tantramar,MLA,Megan Mitton,Megan,Mitton,"Memramcook-Tantramar 131 Main Street Sackville, New Brunswick E4L 4B2 Canada",22,"131 Main St, Sackville, NB E4L 4B2, Canada",,45.9003752,-64.3698821,"45.9003752,-64.36988210000001",,ROOFTOP,ChIJgfw_yutQX0sRMIgFhU5vGOQ,,premise,E4L 4B2,"Memramcook-Tantramar 131 Main Street Sackville, New Brunswick E4L 4B2 Canada",2,OK,2184.704
Miramichi,MLA,Michelle Conroy,Michelle,Conroy,"Miramichi 635 Water Street Miramichi, New Brunswick E1N 1B2 Canada",23,"635 Water St, Miramichi, NB E1N 1B2, Canada",,47.0081971,-65.5393916,"47.0081971,-65.5393916",,ROOFTOP,ChIJLSprSLCKoUwRwuKhINyqJqE,,premise,E1N 1B2,"Miramichi 635 Water Street Miramichi, New Brunswick E1N 1B2 Canada",1,OK,2196.557
Miramichi Bay-Neguac,MLA,Lisa Harris,Lisa,Harris,"Miramichi Bay-Neguac 1 Marina Drive Miramichi, New Brunswick E1V 6S8 Canada",24,"1 Marina Dr, Miramichi, NB E1V 6S8, Canada",,47.0249019,-65.5006843,"47.0249019,-65.50068430000002",,ROOFTOP,ChIJR6brOzz1oUwRlFD9cZy7H1A,,street_address,E1V 6S8,"Miramichi Bay-Neguac 1 Marina Drive Miramichi, New Brunswick E1V 6S8 Canada",1,OK,2197.46
Moncton Centre,MLA,Robert McKee,Robert,McKee,"Moncton Centre 234 Church Street Moncton, New Brunswick E1C 5A5 Canada",25,"234 Church St, Moncton, NB E1C 5A5, Canada",,46.096137,-64.780347,"46.096137,-64.78034699999999",,ROOFTOP,ChIJPQDP1zG5oEwRRiZm_aoJGds,,street_address,E1C 5A5,"Moncton Centre 234 Church Street Moncton, New Brunswick E1C 5A5 Canada",1,OK,2140.379
Moncton East,MLA,Monique LeBlanc,Monique,LeBlanc,"Moncton East 75 Shediac road Moncton, New Brunswick E1A 2R6 Canada",26,"75 Shediac Rd, Moncton, NB E1A 2R6, Canada",,46.1025305,-64.764679,"46.1025305,-64.764679",,ROOFTOP,ChIJVyIgmcu-oEwRgstJ-L3zzpU,,premise,E1A 2R6,"Moncton East 75 Shediac road Moncton, New Brunswick E1A 2R6 Canada",1,OK,2141.939
Moncton Northwest,MLA,Ernie Steeves,Ernie,Steeves,"Moncton Northwest 1966 Mountain Road Moncton, New Brunswick E1G 1A9 Canada",27,"1966 Mountain Rd, Moncton, NB E1G 1A9, Canada",,46.1227954,-64.8542082,"46.1227954,-64.8542082",,ROOFTOP,ChIJhfuv8LLAoEwRe3iTIIyyOws,,premise,E1G 1A9,"Moncton Northwest 1966 Mountain Road Moncton, New Brunswick E1G 1A9 Canada",1,OK,2132.781
Moncton South,MLA,Cathy Rogers,Cathy,Rogers,"Moncton South 336 St. George Street Moncton, New Brunswick E1C 1X4 Canada",28,"336 St. George St, Moncton, NB E1C 1W8, Canada",,46.0901552,-64.7867186,"46.0901552,-64.7867186",,RANGE_INTERPOLATED,Ei4zMzYgU3QuIEdlb3JnZSBTdCwgTW9uY3RvbiwgTkIgRTFDIDFXOCwgQ2FuYWRhIhsSGQoUChIJkRCCsCS5oEwRbsZH4WAO_3YQ0AI,,street_address,E1C 1W8,"Moncton South 336 St. George Street Moncton, New Brunswick E1C 1X4 Canada",1,OK,2136.04
Moncton Southwest,MLA,Sherry Wilson,Sherry,Wilson,"Moncton Southwest 555 Edinburgh Drive Moncton, New Brunswick E1E 4E3 Canada",29,"555 Edinburgh Dr, Moncton, NB E1E 4E3, Canada",,46.0885347,-64.8404052,"46.0885347,-64.84040519999999",,ROOFTOP,ChIJM8NsRZK4oEwRtNC21JPxkJg,,premise,E1E 4E3,"Moncton Southwest 555 Edinburgh Drive Moncton, New Brunswick E1E 4E3 Canada",1,OK,2132.093
New Maryland-Sunbury,MLA,Jeff Carr,Jeff,Carr,"New Maryland-Sunbury 189A Sunbury Drive Fredericton Junction, NB E5L 1R5 Canada",30,"189 Sunbury Dr, Fredericton Junction, NB E5L 1R5, Canada",,45.6643554,-66.6171481,"45.6643554,-66.6171481",,ROOFTOP,ChIJcb7vJyyHpkwRw3e_QZFChvM,,premise,E5L 1R5,"New Maryland-Sunbury 189A Sunbury Drive Fredericton Junction, NB E5L 1R5 Canada",1,OK,1971.928
Oromocto-Lincoln,MLA,Mary E. Wilson,Mary E.,Wilson,"Oromocto-Lincoln 261 Restigouche Road Oromocto, New Brunswick E2V 2H1 Canada",31,"261 Restigouche Rd, Oromocto, NB E2V 2H1, Canada",,45.8403882,-66.4981817,"45.8403882,-66.4981817",,GEOMETRIC_CENTER,ChIJSWoXLBmcpkwRrYxmp1U8ZUc,,premise,E2V 2H1,"Oromocto-Lincoln 261 Restigouche Road Oromocto, New Brunswick E2V 2H1 Canada",1,OK,2037.042
Portland-Simonds,MLA,Trevor A. Holder,Trevor A.,Holder,"Portland-Simonds 229 Churchill Boulevard Saint John, New Brunswick E2K 3E2 Canada",32,"229 Churchill Blvd, Saint John, NB E2K 3E2, Canada",,45.286821,-66.0792316,"45.286821,-66.0792316",,ROOFTOP,ChIJVX5X-kSzp0wRM_hUht-NQy8,,premise,E2K 3E2,"Portland-Simonds 229 Churchill Boulevard Saint John, New Brunswick E2K 3E2 Canada",1,OK,1986.664
Quispamsis,MLA,Blaine Higgs,Blaine,Higgs,"Quispamsis 25 William Court Quispamsis, New Brunswick E2E 4B1 Canada",33,"25 William Ct, Quispamsis, NB E2E 4B1, Canada",,45.4139737,-65.9485523,"45.4139737,-65.9485523",,ROOFTOP,ChIJ08F2EGarp0wRiiz1qjCf3YQ,,street_address,E2E 4B1,"Quispamsis 25 William Court Quispamsis, New Brunswick E2E 4B1 Canada",1,OK,2005.222
Restigouche West,MLA,Gilles LePage,Gilles,LePage,"Restigouche West 647 avenue des Pionniers Balmoral, New Brunswick E8E 1B3 Canada",34,"647 Des Pionniers Ave, Balmoral, NB E8E 1B3, Canada",,47.9812057,-66.4139737,"47.9812057,-66.4139737",,ROOFTOP,ChIJGXvKC747mEwRlaOqk5gOHkk,,premise,E8E 1B3,"Restigouche West 647 avenue des Pionniers Balmoral, New Brunswick E8E 1B3 Canada",1,OK,2230.968
Restigouche-Chaleur,MLA,Daniel Guitard,Daniel,Guitard,"691 Principale Street Petit-Rocher, New Brunswick E8J 1G1 Canada",35,"691 Rue Principale, Petit-Rocher, NB E8J 1G1, Canada",,47.7750776,-65.7154775,"47.7750776,-65.71547749999999",,ROOFTOP,ChIJsSeji7HzmEwRIEvx80N681Q,,street_address,E8J 1G1,"691 Principale Street Petit-Rocher, New Brunswick E8J 1G1 Canada",1,OK,2269.502
Riverview,MLA,R. Bruce Fitch,R. Bruce,Fitch,"Riverview 567 Coverdale Road Riverview, New Brunswick E1B 3K7 Canada",36,"567 Coverdale Rd, Riverview, NB E1B 3K7, Canada",,46.0632826,-64.809984,"46.0632826,-64.809984",,ROOFTOP,ChIJibZE7aW5oEwRtnt3ft-KaWA,,premise,E1B 3K7,"Riverview 567 Coverdale Road Riverview, New Brunswick E1B 3K7 Canada",1,OK,2136.726
Rothesay,MLA,Hugh J. A. (Ted) Flemming,Hugh J. A. (Ted),Flemming,"Rothesay 70 Hampton Road Rothesay, New Brunswick E2E 5L5 Canada",37,"70 Hampton Rd, Rothesay, NB E2E 5Y2, Canada",,45.3938719,-65.9860498,"45.3938719,-65.9860498",,ROOFTOP,ChIJI2YrbLisp0wRwQJ4Ij8ySlI,,street_address,E2E 5Y2,"Rothesay 70 Hampton Road Rothesay, New Brunswick E2E 5L5 Canada",1,OK,2001.338
Saint John East,MLA,Glen Savoie,Glen,Savoie,"Saint John East 1210 Loch Lomond Road Saint John, New Brunswick E2J 1Z6 Canada",38,"1210 Loch Lomond Rd, Saint John, NB E2J 1Z6, Canada",,45.3032109,-65.9923044,"45.3032109,-65.9923044",,ROOFTOP,ChIJMdyJ2Deyp0wRAgpEeB_gWws,,premise,E2J 1Z6,"Saint John East 1210 Loch Lomond Road Saint John, New Brunswick E2J 1Z6 Canada",1,OK,1993.241
Saint John Harbour,MLA,Gerry Lowe,Gerry,Lowe,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",39,"96 St John St, Fredericton, NB E3B 1C5, Canada",,45.9594525,-66.6368514,"45.9594525,-66.6368514",,ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,,street_address,E3B 1C5,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.423
Saint John Lancaster,MLA,Dorothy Shephard,Dorothy,Shephard,"Saint John Lancaster 640 Manawagonish Road Saint John, New Brunswick E2M 3W5 Canada",40,"640 Manawagonish Rd, Saint John, NB E2M 4P5, Canada",,45.256789,-66.100452,"45.256789,-66.10045199999999",,ROOFTOP,ChIJy24DH8G0p0wR7qTzjLek00c,,"establishment,premise",E2M 4P5,"Saint John Lancaster 640 Manawagonish Road Saint John, New Brunswick E2M 3W5 Canada",1,OK,1982.548
Shediac-Beaubassin-Cap-Pelé,MLA,Jacques LeBlanc,Jacques,LeBlanc,"Shediac-Beaubassin-Cap-Pelé 328 Main Street Shediac, New Brunswick E4P 2E3 Canada",41,"290 Main St, Shediac, NB E4P 2A7, Canada",,46.2194026,-64.5492444,"46.2194026,-64.54924439999999",,ROOFTOP,ChIJ49ScyteQoEwR2on53NFN4hQ,,"city_hall,establishment,local_government_office,point_of_interest",E4P 2A7,"Shediac-Beaubassin-Cap-Pelé 328 Main Street Shediac, New Brunswick E4P 2E3 Canada",1,OK,2162.848
Shippagan-Lamèque-Miscou,MLA,Robert Gauvin,Robert,Gauvin,"East Block 710 Queen Street Fredericton, New Brunswick E3B 1C5 Canada",42,"710 Queen St, Fredericton, NB E3B 1C5, Canada",,45.9591756,-66.6358567,"45.9591756,-66.63585669999999",,ROOFTOP,ChIJ04jT7KYYpEwRQCUboZr0FmU,,street_address,E3B 1C5,"East Block 710 Queen Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.239
Southwest Miramichi-Bay du Vin,MLA,Jake Stewart,Jake,Stewart,"Southwest Miramichi-Bay du Vin 137 Main Street Blackville, New Brunswick E9B 1N9 Canada",43,"401 Main St, Blackville, NB E9B 1T3, Canada",,46.7577456,-65.8144192,"46.7577456,-65.8144192",,ROOFTOP,ChIJ31SBsLcqokwROtObGonMO48,,"establishment,point_of_interest",E9B 1T3,"Southwest Miramichi-Bay du Vin 137 Main Street Blackville, New Brunswick E9B 1N9 Canada",1,OK,2154.402
Sussex-Fundy-St. Martins,MLA,Bruce Northrup,Bruce,Northrup,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",44,"96 St John St, Fredericton, NB E3B 1C5, Canada",,45.9594525,-66.6368514,"45.9594525,-66.6368514",,ROOFTOP,ChIJue_DxqYYpEwRbIszPsyXH9A,,street_address,E3B 1C5,"West Block 96 Saint John Street Fredericton, New Brunswick E3B 1C5 Canada",1,OK,2026.423
Tracadie-Sheila,MLA,Keith Chiasson,Keith,Chiasson,"Tracadie-Sheila 4104 rue Principale Tracadie, New Brunswick E1X 1B8 Canada",45,"4104 Rue Principale, Tracadie-Sheila, NB E1X 1B8, Canada",,47.4878469,-64.9184566,"47.4878469,-64.9184566",,ROOFTOP,ChIJUQOomAJJn0wReUkGZeSpOAk,,premise,E1X 1B8,"Tracadie-Sheila 4104 rue Principale Tracadie, New Brunswick E1X 1B8 Canada",1,OK,2271.616
Victoria-La Vallée,MLA,Chuck Chiasson,Chuck,Chiasson,"Victoria-La Vallée 385 Broadway Blvd. Grand Falls, New Brunswick E3Z 2K5 Canada",46,"385 Boulevard Broadway, Grand-Sault, NB E3Z 2K5, Canada",,47.0459073,-67.7432521,"47.0459073,-67.74325209999999",,ROOFTOP,ChIJ05pov_3QvEwRw5DvFV6qAgw,,premise,E3Z 2K5,"Victoria-La Vallée 385 Broadway Blvd. Grand Falls, New Brunswick E3Z 2K5 Canada",1,OK,2032.395
"Saint Croix, electoral district 36",,,,,"Saint Croix 78 Milltown Boulevard St Stephen, New Brunswick E3L 1G6 Canada",47,"78 Milltown Blvd, Saint Stephen, NB E3L 1G6, Canada",,45.1920831,-67.2791663,"45.1920831,-67.2791663",,ROOFTOP,ChIJn8ZSKzH5pUwRv0fimj0ton8,,premise,E3L 1G6,"Saint Croix 78 Milltown Boulevard St Stephen, New Brunswick E3L 1G6 Canada",2,OK,1870.297
