District name,,,,Office type,Address,,formatted_address,latitude,longitude,coordinates,accuracy,google_place_id,postcode,input_string,number_of_results,status,distance to SK parli. (1818.406 is NULL**)
Arm River,,,,constituency,"121 Washington Avenue Davidson,
SK",0,"121 Washington Ave, Davidson, SK S0G 1A0, Canada",51.2623356,-105.9908852,"51.2623356,-105.9908852",ROOFTOP,ChIJ10MyGWAVG1MRk_tl7hmE3t8,S0G 1A0,"121 Washington Avenue Davidson,
SK",1,OK,146.216
Athabasca,,,,constituency,"Lavoie Street, Lot 8, Block P Beauval, SK",1,"Lavoie St, Beauval, SK S0M 0G0, Canada",55.1468348,-107.6121053,"55.1468348,-107.6121053",GEOMETRIC_CENTER,ChIJQSHvuNfaq1MRJClS0E0l4QA,S0M 0G0,"Lavoie Street, Lot 8, Block P Beauval, SK",1,OK,656.975
Batoche,,,,constituency,"105 Highway #2 South Wakaw, SK",2,,,,,,,,"105 Highway #2 South Wakaw, SK",0,REQUEST_DENIED,1818.406
Biggar-Sask Valley,,,,constituency,"117 3rd Street Dalmeny, SK",3,"117 3rd St, Dalmeny, SK S0K 1E0, Canada",52.3406373,-106.7749122,"52.3406373,-106.7749122",RANGE_INTERPOLATED,EicxMTcgM3JkIFN0LCBEYWxtZW55LCBTSyBTMEsgMUUwLCBDYW5hZGEiGhIYChQKEgk7JhRMFFsEUxGYoECl199pHBB1,S0K 1E0,"117 3rd Street Dalmeny, SK",1,OK,286.471
Cannington,,,,constituency,"202 8th Street West Carlyle, SK",4,"202 8 St W, Carlyle, SK S0C 0R0, Canada",49.633184,-102.277498,"49.633184,-102.277498",RANGE_INTERPOLATED,EicyMDIgOCBTdCBXLCBDYXJseWxlLCBTSyBTMEMgMFIwLCBDYW5hZGEiGxIZChQKEgkbLO-aR2vgUhF0zVeRVvHaKhDKAQ,S0C 0R0,"202 8th Street West Carlyle, SK",1,OK,199.924
Canora-Pelly,,,,constituency,"427 First Street Kamsack, SK",5,"512 1st St, Kamsack, SK S0A 1S0, Canada",51.5630843,-101.9028934,"51.5630843,-101.9028934",ROOFTOP,ChIJL4K0cWp741IRvSBqtETC5Jo,S0A 1S0,"427 First Street Kamsack, SK",1,OK,269.816
Carrot River Valley,,,,constituency,"107 First Avenue East Nipawin, SK",6,"107 1 Ave E, Nipawin, SK S0E 1E0, Canada",53.3626537,-104.0167123,"53.3626537,-104.0167123",ROOFTOP,ChIJczlMHpxz_lIR5DEGYByXnHI,S0E 1E0,"107 First Avenue East Nipawin, SK",1,OK,362.952
Cumberland,,,,constituency,"517 La Ronge Avenue La Ronge, SK",7,"517 La Ronge Ave, La Ronge, SK S0J 1L0, Canada",55.0993873,-105.2953161,"55.0993873,-105.2953161",RANGE_INTERPOLATED,EiY1MTcgTGEgUm9uZ2UgQXZlLCBMYSBSb25nZSwgU0ssIENhbmFkYSIbEhkKFAoSCZ0DiLlwJVVSEXjjOl3WkRXaEIUE,S0J 1L0,"517 La Ronge Avenue La Ronge, SK",1,OK,601.109
Cut Knife-Turtleford,,,,constituency,"C 101-102 22nd Street Battleford, SK",8,"101 22 St, Battleford, SK S0M 0E0, Canada",52.7360436,-108.3053831,"52.7360436,-108.3053831",RANGE_INTERPOLATED,EikxMDEgMjIgU3QsIEJhdHRsZWZvcmQsIFNLIFMwTSAwRTAsIENhbmFkYSIaEhgKFAoSCf0PqgywBgZTETfceVz-5I6GEGU,S0M 0E0,"C 101-102 22nd Street Battleford, SK",1,OK,400.689
Cypress Hills,,,,constituency,"379 Centre Street Shaunavon, SK",9,"379 Centre St, Shaunavon, SK S0N 2M0, Canada",49.646945,-108.4088149,"49.646945,-108.4088149",ROOFTOP,ChIJx9czmm-nFlMRiSG44sC9re0,S0N 2M0,"379 Centre Street Shaunavon, SK",1,OK,349.529
Estevan,,,,constituency,"110 – 1175 Nicholson Road Estevan, SK",10,"1175 Nicholson Rd #110, Estevan, SK S4A 2S7, Canada",49.152566,-103.0119394,"49.152566,-103.0119394",ROOFTOP,ChIJV5Ht7voiIFMRnvwHiGWkM3s,S4A 2S7,"110 – 1175 Nicholson Road Estevan, SK",1,OK,197.843
Humboldt-Watrous,,,,constituency,"107D 3rd Avenue East Watrous, SK",11,"107-D 3rd Ave E, Watrous, SK S0K 4T0, Canada",51.6732195,-105.4661548,"51.67321949999999,-105.4661548",ROOFTOP,ChIJN-p5j06tHFMRbKXSOp0cGEw,S0K 4T0,"107D 3rd Avenue East Watrous, SK",1,OK,176.805
Indian Head-Milestone,,,,constituency,"311 Grand Avenue Indian Head, SK",12,"311 Grand Ave, Indian Head, SK S0G 2K0, Canada",50.530969,-103.6666125,"50.530969,-103.6666125",ROOFTOP,ChIJ41-4UG91HlMRFCL9PeCfDTQ,S0G 2K0,"311 Grand Avenue Indian Head, SK",1,OK,72.057
Kelvington-Wadena,,,,constituency,"432 Main Street Foam Lake, SK",13,"432 Main St, Foam Lake, SK S0A 1A0, Canada",51.6437156,-103.5339596,"51.6437156,-103.5339596",ROOFTOP,ChIJVU8hlJij4lIRQIRnbExp8Ko,S0A 1A0,"432 Main Street Foam Lake, SK",1,OK,197.865
Kindersley,,,,constituency,"512 Grand Avenue Luseland, SK",14,"512 Grand Ave, Luseland, SK S0L 2A0, Canada",52.0809181,-109.3927821,"52.0809181,-109.3927821",RANGE_INTERPOLATED,Eis1MTIgR3JhbmQgQXZlLCBMdXNlbGFuZCwgU0sgUzBMIDJBMCwgQ2FuYWRhIhsSGQoUChIJFUvyY_boDlMRM9CYPKQfGuwQgAQ,S0L 2A0,"512 Grand Avenue Luseland, SK",1,OK,452.974
Last Mountain-Touchwood,,,,constituency,"503 Main Street Ituna, SK",15,"503 Main St, Ituna, SK S0A 1N0, Canada",51.1658309,-103.4959398,"51.1658309,-103.4959398",ROOFTOP,ChIJm0z_hbeAHVMRmHMWn9u78eY,S0A 1N0,"503 Main Street Ituna, SK",1,OK,135.815
Lloydminster,,,,constituency,"2095 50 Avenue Lloydminster, SK",16,"2095 50 Ave, Lloydminster, SK T9V 2W7, Canada",53.2565654,-110.0043273,"53.2565654,-110.0043273",RANGE_INTERPOLATED,Ei0yMDk1IDUwIEF2ZSwgTGxveWRtaW5zdGVyLCBTSyBUOVYgMlc3LCBDYW5hZGEiGxIZChQKEglLVhX4ea0JUxH1KWMCYeYB9xCvEA,T9V 2W7,"2095 50 Avenue Lloydminster, SK",1,OK,535.488
Lumsden-Morse,,,,constituency,"401 Main Street North Moose Jaw, SK",17,"401 Main St N, Moose Jaw, SK S6H 0W5, Canada",50.394112,-105.534432,"50.394112,-105.534432",ROOFTOP,ChIJCbYDXi_cG1MR6gBo84htMvU,S6H 0W5,"401 Main Street North Moose Jaw, SK",1,OK,69.982
Martensville-Warman,,,,constituency,"#3 721 Centennial Drive Martensville, SK",18,,,,,,,,"#3 721 Centennial Drive Martensville, SK",0,INVALID_REQUEST,1818.406
Meadow Lake,,,,constituency,"514 1st Avenue West Meadow Lake, SK",19,"514 1 Ave W, Meadow Lake, SK S9X, Canada",54.1332428,-108.4423342,"54.1332428,-108.4423342",RANGE_INTERPOLATED,EiQ1MTQgMSBBdmUgVywgTWVhZG93IExha2UsIFNLLCBDYW5hZGEiGxIZChQKEgnLZN6qwyuoUxHrwa94AiHjhRCCBA,S9X,"514 1st Avenue West Meadow Lake, SK",1,OK,554.007
Melfort,,,,constituency,"620F Saskatchewan Avenue East Melfort, SK",20,"620 Saskatchewan Ave E, Melfort, SK S0E 1A0, Canada",52.8566071,-104.593821,"52.8566071,-104.593821",RANGE_INTERPOLATED,EjM2MjAgU2Fza2F0Y2hld2FuIEF2ZSBFLCBNZWxmb3J0LCBTSyBTMEUgMUEwLCBDYW5hZGEiGxIZChQKEgkjALGCoRICUxGdyqSjljiw5BDsBA,S0E 1A0,"620F Saskatchewan Avenue East Melfort, SK",1,OK,279.11
Melville-Saltcoats,,,,constituency,"112 Wells Avenue East Langenburg, SK",21,"112 Wells Ave E, Langenburg, SK S0A 2A0, Canada",50.8414941,-101.7039417,"50.8414941,-101.7039417",RANGE_INTERPOLATED,Ei8xMTIgV2VsbHMgQXZlIEUsIExhbmdlbmJ1cmcsIFNLIFMwQSAyQTAsIENhbmFkYSIaEhgKFAoSCY3ewkVY4-NSEfjjj8CN2chDEHA,S0A 2A0,"112 Wells Avenue East Langenburg, SK",1,OK,228.789
Moose Jaw North,,,,constituency,"109 Ominica St W Moose Jaw, SK",22,"109 Ominica St W, Moose Jaw, SK S6H 4P4, Canada",50.393171,-105.5378975,"50.393171,-105.5378975",ROOFTOP,ChIJcf5RySXcG1MRnIK5nb_s5J8,S6H 4P4,"109 Ominica St W Moose Jaw, SK",1,OK,70.085
Moose Jaw Wakamow,,,,constituency,"710 G Main Street North Moose Jaw, SK",23,"710g Main St N, Moose Jaw, SK S6H 3K5, Canada",50.3964242,-105.5362426,"50.3964242,-105.5362426",ROOFTOP,ChIJ9wUu9S_cG1MRV6ZAsxk2Vhk,S6H 3K5,"710 G Main Street North Moose Jaw, SK",1,OK,69.588
Moosomin,,,,constituency,"506 Ellice Street Moosomin, SK",24,"506 Ellice St, Moosomin, SK S0G 3N0, Canada",50.1483481,-101.6675278,"50.1483481,-101.6675278",RANGE_INTERPOLATED,Eis1MDYgRWxsaWNlIFN0LCBNb29zb21pbiwgU0sgUzBHIDNOMCwgQ2FuYWRhIhsSGQoUChIJIQT8Mhof4VIRbWySJklrvSIQ-gM,S0G 3N0,"506 Ellice Street Moosomin, SK",1,OK,224.212
Prince Albert Carlton,,,,constituency,"127 – 2995 2nd Avenue West Prince Albert, SK",25,"2995 2 Ave W, Prince Albert, SK S6V 5V5, Canada",53.1864309,-105.7626095,"53.1864309,-105.7626095",GEOMETRIC_CENTER,ChIJedZetu16AVMR1-0cYtgZv6Y,S6V 5V5,"127 – 2995 2nd Avenue West Prince Albert, SK",1,OK,361.117
Prince Albert Northcote,,,,constituency,"5 – 1499 10th Avenue East Prince Albert, SK",26,"5 10 Ave E, Prince Albert, SK S6V 0G4, Canada",53.2100123,-105.7219036,"53.2100123,-105.7219036",RANGE_INTERPOLATED,Ei01IDEwIEF2ZSBFLCBQcmluY2UgQWxiZXJ0LCBTSyBTNlYgMEc0LCBDYW5hZGEiGhIYChQKEglBZa3pDHoBUxHRM4FoG9_i1RAF,S6V 0G4,"5 – 1499 10th Avenue East Prince Albert, SK",1,OK,365.61
Regina Coronation Park,,,,constituency,"1802 – 9th Avenue North Regina, SK",27,"1802 9th Ave N, Regina, SK S4R 7T4, Canada",50.4847695,-104.607314,"50.4847695,-104.607314",ROOFTOP,ChIJQy0kZh4fHFMRzBq_gclt5ik,S4R 7T4,"1802 – 9th Avenue North Regina, SK",1,OK,6.892
Regina Douglas Park,,,,constituency,"1440 Broadway Avenue Regina, SK",28,"1440 Broadway Ave, Regina, SK S4P 1E2, Canada",50.4381356,-104.601021,"50.4381356,-104.601021",ROOFTOP,ChIJuR7lojoeHFMRYDpleF4pbbU,S4P 1E2,"1440 Broadway Avenue Regina, SK",1,OK,2.653
Regina Elphinstone-Centre,,,,constituency,"1660 Pasqua Street Regina, SK",29,"1660 Pasqua St, Regina, SK S4T 4L9, Canada",50.4530723,-104.6411572,"50.4530723,-104.6411572",ROOFTOP,ChIJebmX2pMfHFMR7Ef-tcOliQI,S4T 4L9,"1660 Pasqua Street Regina, SK",1,OK,4.952
Regina Gardiner Park,,,,constituency,"Unit 2A 3850 Green Falls Drive
Regina, SK",30,"2A-3850 Green Falls Dr, Regina, SK S4V 3M1, Canada",50.4166345,-104.517762,"50.4166345,-104.517762",ROOFTOP,EjIyQS0zODUwIEdyZWVuIEZhbGxzIERyLCBSZWdpbmEsIFNLIFM0ViAzTTEsIENhbmFkYSIeGhwKFgoUChIJcf1LnB-gHlMRsf_7-bKbFmgSAjJB,S4V 3M1,"Unit 2A 3850 Green Falls Drive
Regina, SK",1,OK,10.514
Regina Lakeview,,,,constituency,"300 – 2222 13th Avenue Regina, SK",31,"2222 13th Ave, Regina, SK S4P 3M7, Canada",50.4456327,-104.612528,"50.4456327,-104.612528",ROOFTOP,ChIJ8w68UD8eHFMR35FaStR-THU,S4P 3M7,"300 – 2222 13th Avenue Regina, SK",1,OK,2.286
Regina Northeast,,,,constituency,"1442 Lindsay Street Regina, SK",32,"1442 Lindsay St, Regina, SK S4N 3B6, Canada",50.4559648,-104.5853163,"50.4559648,-104.5853163",ROOFTOP,ChIJVV1TPrEfHFMRjpQF5F0yvIA,S4N 3B6,"1442 Lindsay Street Regina, SK",1,OK,5.112
Regina Pasqua,,,,constituency,"#101G - 2965 Gordon Rd. Regina, SK",33,,,,,,,,"#101G - 2965 Gordon Rd. Regina, SK",0,INVALID_REQUEST,1818.406
Regina Rochdale,,,,constituency,"145 Dorothy Street Regina, SK",34,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK,7.566
Regina Rosemont,,,,constituency,"145 Dorothy Street Regina, SK",35,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK,7.566
Regina University,,,,constituency,"4617 Albert Street Regina, SK",36,"4617 Albert St, Regina, SK S4S 6B6, Canada",50.4063616,-104.6170453,"50.4063616,-104.6170453",ROOFTOP,ChIJeQ35_LagHlMRS6VpluJOcEI,S4S 6B6,"4617 Albert Street Regina, SK",1,OK,3.13
Regina Walsh Acres,,,,constituency,"145 Dorothy Street Regina, SK",37,"145 Dorothy St, Regina, SK S4T 5V7, Canada",50.4585717,-104.680025,"50.4585717,-104.680025",ROOFTOP,ChIJAdKcyjQcHFMRUEk07JzcAQo,S4T 5V7,"145 Dorothy Street Regina, SK",1,OK,7.566
Regina Wascana Plains,,,,constituency,"5M South Plains Road Emerald Park, SK",38,"5P S Plains Rd, Pilot Butte, SK S0G 3Z0, Canada",50.4465247,-104.4182199,"50.4465247,-104.4182199",ROOFTOP,ChIJYfNwegGeHlMR6vBGPxcvUrg,S0G 3Z0,"5M South Plains Road Emerald Park, SK",1,OK,16.592
Rosetown-Elrose,,,,constituency,"117 First Avenue East Rosetown, SK",39,"117 1st Ave E, Rosetown, SK S0L 2V0, Canada",51.5506972,-107.9894738,"51.55069719999999,-107.9894738",ROOFTOP,ChIJo9Cc_YruD1MR_s6Ua9BIz18,S0L 2V0,"117 First Avenue East Rosetown, SK",1,OK,308.225
Rosthern-Shellbrook,,,,constituency,"319 Railway Avenue Rosthern, SK",40,"319 Railway Ave, Rosthern, SK S0K 3R0, Canada",52.6646958,-106.3299554,"52.6646958,-106.3299554",RANGE_INTERPOLATED,Ei0zMTkgUmFpbHdheSBBdmUsIFJvc3RoZXJuLCBTSyBTMEsgM1IwLCBDYW5hZGEiGxIZChQKEgnXoAHsRQoEUxGNU4BT7VWn_BC_Ag,S0K 3R0,"319 Railway Avenue Rosthern, SK",1,OK,326.587
Saskatchewan Rivers,,,,constituency,"6 – 3041 Sherman Drive Prince Albert, SK",41,"3041 Sherman Dr, Prince Albert, SK S6V 7B7, Canada",53.1832636,-105.717454,"53.1832636,-105.717454",ROOFTOP,ChIJz2I3N096AVMR5weN31BGBJU,S6V 7B7,"6 – 3041 Sherman Drive Prince Albert, SK",1,OK,363.17
Saskatoon Centre,,,,constituency,"5 – 511 1st Avenue N. Saskatoon, SK",42,"5-1925 1st Ave N, Saskatoon, SK S7K 6W1, Canada",52.1559116,-106.6610878,"52.1559116,-106.6610878",ROOFTOP,ChIJD7HizvP2BFMRsFnIlB7PN1M,S7K 6W1,"5 – 511 1st Avenue N. Saskatoon, SK",1,OK,261.674
Saskatoon Churchill-Wildwood,,,,constituency,"129 – 2325 Preston Avenue
Saskatoon SK",43,"2325 Preston Ave S, Saskatoon, SK S7J 2G2, Canada",52.101643,-106.6203576,"52.101643,-106.6203576",ROOFTOP,ChIJtZlj2GrxBFMR_7Zhl3aK_LQ,S7J 2G2,"129 – 2325 Preston Avenue
Saskatoon SK",1,OK,254.184
Saskatoon Eastview,,,,constituency,"88 – 2325 Preston Ave. Saskatoon, SK",44,"2325 Preston Ave S, Saskatoon, SK S7J 2G1, Canada",52.1014474,-106.6203921,"52.1014474,-106.6203921",ROOFTOP,ChIJWalLBgbxBFMR_pZnuvAXmUs,S7J 2G1,"88 – 2325 Preston Ave. Saskatoon, SK",1,OK,254.179
Saskatoon Fairview,,,,constituency,"61 – 300 Confederation Drive Saskatoon, SK",45,"300 Confederation Dr, Saskatoon, SK S7L 4R6, Canada",52.1324092,-106.7211051,"52.1324092,-106.7211051",ROOFTOP,ChIJoxdCUl33BFMRVVy-Uk5WRPc,S7L 4R6,"61 – 300 Confederation Drive Saskatoon, SK",2,OK,262.926
Saskatoon Meewasin,,,,constituency,"219 Primrose Drive Saskatoon, SK",46,"219 Primrose Dr, Saskatoon, SK S7K 7C2, Canada",52.1678755,-106.6338155,"52.1678755,-106.6338155",ROOFTOP,ChIJu8V_F372BFMRrm9clfLHvxk,S7K 7C2,"219 Primrose Drive Saskatoon, SK",1,OK,262.144
Saskatoon Northwest,,,,constituency,"209A 2750 Faithfull Ave. Saskatoon, SK",47,"209A-2750 Faithfull Ave, Saskatoon, SK S7K 6M6, Canada",52.1723791,-106.6639929,"52.1723791,-106.6639929",ROOFTOP,EjYyMDlBLTI3NTAgRmFpdGhmdWxsIEF2ZSwgU2Fza2F0b29uLCBTSyBTN0sgNk02LCBDYW5hZGEiIBoeChYKFAoSCRPDO4dn9gRTETkJCDRSDtzIEgQyMDlB,S7K 6M6,"209A 2750 Faithfull Ave. Saskatoon, SK",1,OK,263.325
Saskatoon Nutana,,,,constituency,"17 – 2105 8th Street East Saskatoon, SK",48,"2105 8 St E, Saskatoon, SK S7H 5N9, Canada",52.1153213,-106.6247452,"52.1153213,-106.6247452",GEOMETRIC_CENTER,ChIJgxC7ikjxBFMRbeInSzF1bTg,S7H 5N9,"17 – 2105 8th Street East Saskatoon, SK",1,OK,255.339
Saskatoon Riversdale,,,,constituency,"1438 Fletcher Road Saskatoon, SK",49,"1438 Fletcher Rd, Saskatoon, SK S7M 5T2, Canada",52.1078099,-106.7111545,"52.10780990000001,-106.7111545",ROOFTOP,ChIJdbqhPKzwBFMR4E3wJpJpGoc,S7M 5T2,"1438 Fletcher Road Saskatoon, SK",1,OK,261.789
Saskatoon Silverspring-Sutherland,,,,constituency,11 – 705 Central Ave. Saskatoon SK,50,"705 Central Ave #2, Saskatoon, SK S7N 3A4, Canada",52.1362531,-106.597904,"52.1362531,-106.597904",ROOFTOP,ChIJaeIeTQT0BFMREZCofpPkUqM,S7N 3A4,11 – 705 Central Ave. Saskatoon SK,1,OK,256.775
Saskatoon Southeast,,,,constituency,"#201 – 3301 8th Street Saskatoon, SK",51,,,,,,,,"#201 – 3301 8th Street Saskatoon, SK",0,INVALID_REQUEST,1818.406
Saskatoon Stonebridge-Dakota,,,,constituency,"140 – 250 Hunter Road Saskatoon, SK",52,"140-250 Hunter Rd, Saskatoon, SK S7T 1C9, Canada",52.0850733,-106.6210324,"52.0850733,-106.6210324",ROOFTOP,ChIJB9WlCwnxBFMRFavoeHkArLI,S7T 1C9,"140 – 250 Hunter Road Saskatoon, SK",1,OK,253.425
Saskatoon University,,,,constituency,"#202 – 3301 8th Street East Saskatoon, SK",53,,,,,,,,"#202 – 3301 8th Street East Saskatoon, SK",0,INVALID_REQUEST,1818.406
Saskatoon Westview,,,,constituency,"210 – 2103 Airport Drive Saskatoon, SK",54,"2121-2103 Airport Dr, Saskatoon, SK S7L 6W5, Canada",52.15587,-106.686961,"52.15587,-106.686961",ROOFTOP,ChIJvRoCI_72BFMR65Pt8H0_Kw4,S7L 6W5,"210 – 2103 Airport Drive Saskatoon, SK",1,OK,263.5
Saskatoon Willowgrove,,,,constituency,"431B Nelson Rd. Saskatoon, SK",55,"431 Nelson Rd, Saskatoon, SK S7S 1P2, Canada",52.1505407,-106.5703044,"52.1505407,-106.5703044",ROOFTOP,ChIJ3WC8oGj0BFMRVkQYJb_2bbk,S7S 1P2,"431B Nelson Rd. Saskatoon, SK",1,OK,261.353
Swift Current,,,,constituency,"#2 – 1061 Central Ave. N. Swift Current, SK",56,,,,,,,,"#2 – 1061 Central Ave. N. Swift Current, SK",0,INVALID_REQUEST,1818.406
The Battlefords,,,,constituency,"11400 – Unit 23 Railway Ave. E. North Battleford, SK",57,"11400 Railway Ave E, North Battleford, SK S9A 3P7, Canada",52.7631145,-108.2806426,"52.7631145,-108.2806426",RANGE_INTERPOLATED,EjkxMTQwMCBSYWlsd2F5IEF2ZSBFLCBOb3J0aCBCYXR0bGVmb3JkLCBTSyBTOUEgM1A3LCBDYW5hZGEiGxIZChQKEgnXJ1nhLQQGUxGFt7H4dtalhxCIWQ,S9A 3P7,"11400 – Unit 23 Railway Ave. E. North Battleford, SK",1,OK,394.529
Weyburn-Big Muddy,,,,constituency,"60 18th Street Weyburn, SK",58,"60 18 St, Weyburn, SK S4H 0B8, Canada",49.6585208,-103.828921,"49.6585208,-103.828921",RANGE_INTERPOLATED,Eh02MCAxOCBTdCwgV2V5YnVybiwgU0ssIENhbmFkYSIaEhgKFAoSCXWldNkLDx9TEevCZoytxGXEEDw,S4H 0B8,"60 18th Street Weyburn, SK",1,OK,118.649
Wood River,,,,constituency,"201 3rd Avenue West Assiniboia, SK",59,"201 3rd Ave W, Assiniboia, SK S0H 0B0, Canada",49.6317405,-105.9954217,"49.6317405,-105.9954217",ROOFTOP,ChIJfc-Unw3KGVMRJbLxLJQxlg0,S0H 0B0,"201 3rd Avenue West Assiniboia, SK",1,OK,173.942
Yorkton,,,,constituency,"440 Broadway Street East Yorkton, SK",60,"440 Broadway St E, Yorkton, SK S3N 3Z3, Canada",51.2099462,-102.4350942,"51.2099462,-102.4350942",ROOFTOP,ChIJ1ziMRuet41IR8rEDXmpnl1A,S3N 3Z3,"440 Broadway Street East Yorkton, SK",1,OK,191.505
